,Dunamis Trading Fund,Lemvi Crypto AMC,Nickel Digital Asset Arbitrage SP - Institutional,SwissRex Crypto Fund,Cambrian Systematic Strategies LP,Postera Fund - Crypto I -EUR,Rivemont Crypto Fund Class F,ZeroBeta Digital Assets Fund,Pythagoras Token Fund LLC - US Fund,Pantera Liquid Token Fund LP,Pantera Early-Stage Token Fund Ltd,Altana Digital Currency Fund,Incrementum Crypto Gold UCITS Fund - Class EUR I,Incrementum Digital & Physical Gold Fund - Class A USD,Stylus Quantitative Cryptoasset Strategies LP,Draco Digital Opportunities Fund Ltd,Nickel Digital Asset Fund SPC - DeFi Liquid Venture SP - Institutional,ARK36 Digital Investment Fund,Tellurian ExoAlpha Systematic Digital Asset Program,Tradecraft Crypto Asset Fund LP,Nickel Digital Gold SP - Institutional,Crypto Asset Fund - Class A,Bohr Arbitrage Crypto Fund LP,Nickel Digital Asset Fund SPC - Diversified Alpha SP,Layer1 Multi Manager Fund - Institutional Class S1,Aaro Distributed Ledger Technology Multifund IC SICAV Class B,Crypto Asset Fund - Class X,Arca Digital Asset Fund,Crown A Generix plc - LGT AI news-based Trading Sub-fund
Dec-19,-0.04%,,0.34%,-11.56%,-3.79%,-4.95%,-10.98%,,0.52%,-12.43%,-2.68%,-8.84%,,,-1.60%,,,,,-3.39%,,,,,-3.72%,,,2.09%,0.60%
Jan-20,1.51%,7.03%,0.81%,39.00%,20.36%,42.87%,26.57%,,-3.35%,34.48%,12.85%,33.33%,,,21.60%,,,,19.80%,16.62%,,,,,8.57%,,,35.37%,1.10%
Feb-20,3.69%,6.68%,1.32%,19.60%,0.68%,-3.89%,-7.85%,,11.61%,0.71%,-7.28%,-7.91%,,,10.10%,,,,5.70%,3.93%,,,,,-1.02%,,,-3.24%,-1.30%
Mar-20,2.46%,4.56%,0.09%,-14.32%,-3.58%,-35.85%,-21.56%,,14.53%,-33.61%,-10.34%,-29.94%,,7.06%,3.10%,,,,56.40%,-30.92%,,,,,-19.66%,,,-4.36%,0.20%
Apr-20,1.05%,5.45%,0.74%,30.77%,11.20%,29.67%,23.59%,,0.65%,31.50%,22.90%,34.06%,,11.00%,3.20%,,,,35.20%,18.17%,,,,,8.57%,,,16.24%,3.00%
May-20,1.18%,4.49%,0.28%,3.89%,0.09%,2.97%,3.25%,,-11.27%,20.60%,2.60%,9.92%,,3.25%,-4.30%,0.49%,,,4.20%,10.99%,1.55%,,,,2.36%,1.79%,,10.44%,8.70%
Jun-20,1.39%,1.09%,0.67%,-4.99%,-3.32%,2.01%,-5.30%,,-1.82%,0.50%,-7.30%,-3.02%,,2.89%,-4.50%,-16.43%,,,-2.10%,-4.99%,-3.95%,,-0.31%,,-3.16%,-0.26%,,9.90%,3.30%
Jul-20,1.15%,2.20%,0.51%,20.60%,18.43%,20.22%,22.05%,,6.17%,35.10%,71.80%,28.13%,,13.17%,21.20%,11.50%,,,24.10%,25.65%,22.57%,,3.57%,,17.98%,16.50%,,44.90%,5.80%
Aug-20,1.91%,2.48%,1.12%,23.47%,5.00%,12.10%,3.81%,,3.53%,38.87%,75.13%,3.46%,,1.12%,4.80%,-3.14%,,,9.30%,12.05%,3.95%,,7.43%,,26.38%,35.64%,,40.91%,4.30%
Sep-20,0.16%,0.42%,0.22%,-9.43%,-4.62%,-10.64%,-9.47%,,-6.10%,-20.60%,-28.59%,-6.14%,,-6.86%,-6.40%,-1.87%,,-9.60%,-10.50%,-17.68%,-8.99%,,2.78%,,-15.42%,-15.00%,,-5.91%,0.10%
Oct-20,0.48%,3.56%,0.25%,9.80%,12.27%,12.49%,23.42%,,4.68%,-4.30%,-6.82%,21.76%,,8.03%,7.30%,1.46%,,19.80%,5.60%,1.98%,28.62%,,0.36%,,4.16%,0.79%,,-6.55%,-0.99%
Nov-20,2.03%,5.33%,1.07%,43.19%,30.95%,44.66%,36.56%,,0.63%,46.70%,30.30%,48.23%,,11.61%,35.50%,23.43%,,21.05%,16.90%,49.12%,41.38%,,2.99%,,25.52%,24.09%,,29.32%,1.05%
Dec-20,3.43%,2.85%,2.26%,11.50%,22.31%,21.62%,34.40%,,17.72%,30.60%,31.80%,35.21%,,13.26%,17.80%,12.49%,,62.55%,16.20%,19.80%,45.67%,,0.62%,,21.54%,14.05%,,15.45%,0.09%
Jan-21,9.22%,2.87%,2.81%,77.30%,16.96%,17.99%,14.44%,5.80%,10.37%,98.20%,72.00%,26.60%,,-1.01%,27.10%,16.44%,,32.24%,2.40%,45.30%,15.87%,-5.08%,6.80%,,26.67%,40.41%,128.61%,52.99%,0.16%
Feb-21,17.18%,4.04%,1.88%,38.60%,23.95%,45.88%,25.86%,6.60%,14.57%,52.70%,73.60%,23.43%,,21.62%,18.30%,20.24%,1.12%,51.03%,19.10%,38.06%,32.19%,25.84%,18.46%,3.13%,45.98%,27.32%,23.86%,39.08%,-0.73%
Mar-21,7.00%,2.22%,0.92%,15.56%,-0.28%,13.65%,15.29%,4.80%,-8.20%,38.10%,31.40%,29.89%,0.33%,-2.10%,-3.00%,-4.19%,3.13%,33.22%,11.50%,15.95%,35.78%,26.26%,5.22%,3.72%,43.13%,29.01%,316.32%,34.94%,0.71%
Apr-21,14.88%,2.14%,4.08%,23.44%,5.49%,17.05%,6.54%,9.00%,16.12%,23.80%,34.50%,7.50%,4.89%,3.25%,6.30%,5.07%,25.20%,8.40%,10.60%,8.30%,-4.08%,0.21%,8.67%,3.47%,15.13%,21.88%,-38.88%,20.85%,0.71%
May-21,8.07%,1.47%,2.65%,-0.65%,2.91%,-23.37%,-4.06%,4.70%,-5.06%,-30.20%,-26.20%,-26.77%,-6.41%,-3.49%,6.20%,0.98%,-23.30%,-12.17%,-4.40%,-22.60%,-34.72%,-52.57%,3.02%,4.71%,-23.10%,-21.66%,-32.92%,-12.39%,-0.91%
Jun-21,-0.48%,2.25%,-0.25%,-1.27%,-10.36%,-24.89%,-20.62%,-0.10%,-0.46%,-24.30%,-8.00%,-4.46%,-11.02%,-8.55%,-2.55%,-1.71%,-26.90%,-7.35%,-4.40%,-16.90%,-7.82%,-29.19%,0.08%,-1.46%,-6.44%,-10.30%,-36.66%,-21.93%,1.40%
Jul-21,0.18%,-4.37%,0.02%,5.57%,7.40%,8.90%,-0.62%,0.21%,-5.32%,20.90%,11.40%,7.27%,2.44%,3.53%,-1.47%,0.57%,18.60%,7.26%,9.90%,16.08%,20.80%,30.93%,1.25%,0.32%,12.30%,7.59%,27.72%,11.18%,2.24%
Aug-21,0.61%,1.05%,0.39%,12.53%,16.30%,27.38%,27.91%,1.00%,-1.53%,43.80%,16.60%,21.29%,10.47%,5.90%,10.64%,7.90%,42.70%,12.73%,-1.00%,29.70%,14.40%,48.13%,3.65%,0.27%,60.73%,31.54%,110.51%,39.86%,3.20%
Sep-21,0.30%,-2.19%,-0.32%,-14.82%,-9.80%,-19.58%,-15.51%,0.90%,0.27%,-13.30%,-5.40%,-7.74%,-7.46%,-7.10%,1.65%,-6.93%,-7.40%,-3.51%,-10.30%,-8.70%,-9.50%,-7.67%,0.47%,-0.04%,-0.36%,-1.16%,44.40%,-4.62%,-4.42%
Oct-21,2.91%,2.15%,1.27%,25.35%,18.00%,19.03%,25.68%,1.80%,,18.10%,18.00%,36.95%,15.73%,16.14%,9.74%,6.14%,21.73%,22.84%,8.50%,32.30%,40.76%,,1.09%,1.30%,,,,24.09%,5.33%
Nov-21,,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,
